country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,"Uttar Pradesh",Ghaziabad,"Sanjay Nagar, Ghaziabad - UPPCB","29-07-2026 14:00:00",28.685382,77.453839,CO,16,48,30
India,"Uttar Pradesh",Ghaziabad,"Vasundhara, Ghaziabad - UPPCB","29-07-2026 14:00:00",28.6603346,77.3572563,NO2,46,100,66
India,"Uttar Pradesh",Ghaziabad,"Vasundhara, Ghaziabad - UPPCB","29-07-2026 14:00:00",28.6603346,77.3572563,SO2,10,15,13
India,"Uttar Pradesh",Ghaziabad,"Vasundhara, Ghaziabad - UPPCB","29-07-2026 14:00:00",28.6603346,77.3572563,CO,18,25,22
India,"Uttar Pradesh",Ghaziabad,"Loni, Ghaziabad - UPPCB","29-07-2026 14:00:00",28.757294,77.278792,NH3,1,9,5
India,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB","29-07-2026 14:00:00",17.5316895,78.218939,OZONE,23,28,27
India,Telangana,Hyderabad,"IITH Kandi, Hyderabad - TSPCB","29-07-2026 14:00:00",17.585705,78.126199,PM2.5,NA,NA,NA
India,Telangana,Hyderabad,"IITH Kandi, Hyderabad - TSPCB","29-07-2026 14:00:00",17.585705,78.126199,PM10,NA,NA,NA
India,"Uttar Pradesh",Agra,"Shastripuram, Agra - UPPCB","29-07-2026 14:00:00",27.19862,77.92066,NO2,44,44,44
India,"Uttar Pradesh",Agra,"Manoharpur, Agra - UPPCB","29-07-2026 14:00:00",27.23711,78.01936,OZONE,5,31,11
India,"Uttar Pradesh",Agra,"Shahjahan Garden, Agra - UPPCB","29-07-2026 14:00:00",27.169338,78.03582,SO2,60,82,66
India,"Uttar Pradesh",Agra,"Shahjahan Garden, Agra - UPPCB","29-07-2026 14:00:00",27.169338,78.03582,CO,21,21,21
India,"Uttar Pradesh",Agra,"Sanjay Palace, Agra - UPPCB","29-07-2026 14:00:00",27.19865833,78.00598056,NO2,NA,NA,NA
India,"Uttar Pradesh",Agra,"Sanjay Palace, Agra - UPPCB","29-07-2026 14:00:00",27.19865833,78.00598056,CO,33,34,33
India,"Uttar Pradesh",Agra,"Sector-3B Avas Vikas Colony, Agra - UPPCB","29-07-2026 14:00:00",27.19412,77.96237,NH3,8,10,9
India,"Uttar Pradesh",Agra,"Rohta, Agra - UPPCB","29-07-2026 14:00:00",27.106972,78.000111,NO2,18,18,18
India,"Uttar Pradesh",Baghpat,"Sardar Patel Inter College, Baghpat - UPPCB","29-07-2026 14:00:00",28.964949,77.278761,CO,14,19,17
India,"Uttar Pradesh",Baghpat,"Sardar Patel Inter College, Baghpat - UPPCB","29-07-2026 14:00:00",28.964949,77.278761,OZONE,7,63,44
